# Format: McCode with text headers
# URL: http://www.mccode.org
# Creator: McStas 2.7 - Nov. 27, 2020
# Instrument: MACS_monochromator.instr
# Ncount: 1000000
# Trace: no
# Gravitation: no
# Seed: 1623286579
# Directory: MACS_monochromator_20210609_181951
# Param: EM=5
# Param: dEM=0.1
# Param: EF_all=5
# Param: HF=1
# Param: VF=1
# Param: sample_diameter_d=0.02
# Param: beta_1=1
# Param: beta_2=1
# Param: CPF=0
# Param: MPL=6.06
# Param: MPD=0.775
# Param: APE_h=0.35
# Param: APE_v=0.35
# Param: misalign_mono_deg=0.15
# Param: kidney_angle=0
# Param: DIRDEV=0
# Param: DIVSOU=3
# Param: L0_delta=-1.06
# Param: L1_delta=0
# Param: mon_t=0
# Param: mon_e=0
# Param: monrot_delta=0
# Param: write_virtual_out=1
# Date: Wed Jun  9 18:37:10 2021 (1623278230)
# type: array_1d(200)
# Source: dmtas (MACS_monochromator.instr)
# component: E_mon
# position: 0 0 0.1405
# title: Energy monitor
# Ncount: 1000000
# filename: Emon.dat
# statistics: X0=4.99447; dX=0.0546788;
# signal: Min=0; Max=3.76137e+07; Mean=3.43219e+07;
# values: 6.86438e+09 7.09387e+06 936486
# xvar: E
# yvar: (I,I_err)
# xlabel: Energy [meV]
# ylabel: Intensity
# xlimits: 4.9 5.1
# variables: E I I_err N
4.9005 36039250.03 508605.3287 5021 
4.9015 35644837.73 505868.0897 4965 
4.9025 37320121.39 517686.6324 5197 
4.9035 37405573.6 518323.7416 5208 
4.9045 36057463.59 508963.7408 5019 
4.9055 36769615.62 514021.943 5117 
4.9065 35793888.24 507217.7932 4980 
4.9075 37146144.43 516767.0121 5167 
4.9085 35277846.53 503661.2751 4906 
4.9095 36486609.16 512272.8661 5073 
4.9105 36164747.94 510071.7419 5027 
4.9115 36764094.67 514346.9677 5109 
4.9125 36757598.22 514356.7746 5107 
4.9135 36700104.36 514005.3773 5098 
4.9145 35671511.64 506808.3785 4954 
4.9155 36630455.36 513634.7633 5086 
4.9165 35291917.1 504222.0226 4899 
4.9175 37136307.99 517281.3202 5154 
4.9185 36388012.27 512101.3597 5049 
4.9195 36489983.06 512876.5767 5062 
4.9205 36548693.9 513346.9606 5069 
4.9215 36997663.3 516554.187 5130 
4.9225 36464682.48 512875.7079 5055 
4.9235 37605159.69 520889.3968 5212 
4.9245 36121424.57 510579.178 5005 
4.9255 35601349.83 506938.4267 4932 
4.9265 35813032.21 508511.1961 4960 
4.9275 36766072.95 515283.1872 5091 
4.9285 36102335.13 510666.5889 4998 
4.9295 36681936.74 514812.3425 5077 
4.9305 37543484.75 520885.2713 5195 
4.9315 36540293.22 513939.1623 5055 
4.9325 35659701.54 507769.2991 4932 
4.9335 37105589.1 518010.5527 5131 
4.9345 36462436.8 513555.7618 5041 
4.9355 36188691.47 511683.3763 5002 
4.9365 36117207.89 511235.1011 4991 
4.9375 35931316.86 509985.1402 4964 
4.9385 36424519.88 513531.3384 5031 
4.9395 36903674.38 516957.8864 5096 
4.9405 36150617.97 511707.9983 4991 
4.9415 36745357.31 515956.5458 5072 
4.9425 36935730.5 517356.1886 5097 
4.9435 36559176.72 514765.156 5044 
4.9445 36732950.42 516036.7636 5067 
4.9455 35277543.56 505774.7952 4865 
4.9465 37613678.01 522311.7866 5186 
4.9475 36969335.14 517877.6909 5096 
4.9485 36115105.42 511923.824 4977 
4.9495 36195273.73 512545.5254 4987 
4.9505 36965312.23 518024.6837 5092 
4.9515 36269431.82 513184.2017 4995 
4.9525 35435887.25 507315.5458 4879 
4.9535 35828756.18 510176.5259 4932 
4.9545 36584748.99 515585.4012 5035 
4.9555 36556592.21 515444.5881 5030 
4.9565 36892314.69 517866.898 5075 
4.9575 35940237.65 511194.1991 4943 
4.9585 36122781.99 512547.8075 4967 
4.9595 36647553.87 516316.7089 5038 
4.9605 36967849.85 518620.7311 5081 
4.9615 36175543.62 513089.9021 4971 
4.9625 36286785.82 513944.46 4985 
4.9635 36046390.75 512289.6746 4951 
4.9645 36914527.91 518485.2955 5069 
4.9655 36070260.76 512577.1397 4952 
4.9665 35954679.89 511813.9508 4935 
4.9675 36859575.3 518276.0978 5058 
4.9685 35984902.17 512140.413 4937 
4.9695 36051784.19 512677.0627 4945 
4.9705 35541684.78 509091.1243 4874 
4.9715 36083088.88 513018.4922 4947 
4.9725 36637733.19 516999.9637 5022 
4.9735 37075978.16 520137.6492 5081 
4.9745 37172217.02 520873.0724 5093 
4.9755 35881694.22 511813.1718 4915 
4.9765 37240313.76 521469.026 5100 
4.9775 36014191.26 512868.9765 4931 
4.9785 36722676.97 517940.8482 5027 
4.9795 36278324.37 514858.4819 4965 
4.9805 36235052.94 514607.2751 4958 
4.9815 35995289.27 512964.0336 4924 
4.9825 36405748.83 515939.9603 4979 
4.9835 36246036.44 514867.0924 4956 
4.9845 35398065.29 508864.3013 4839 
4.9855 36378298.73 515913.7387 4972 
4.9865 36269654.55 515202.5927 4956 
4.9875 36958672.12 520132.4512 5049 
4.9885 36226785.82 515009.4818 4948 
4.9895 36133635.15 514413.4885 4934 
4.9905 36242350.99 515230.7682 4948 
4.9915 36500274.2 517123.8164 4982 
4.9925 37190540.69 522053.1773 5075 
4.9935 36626658.4 518134.9586 4997 
4.9945 35497423.44 510134.534 4842 
4.9955 35983130.81 513678.2617 4907 
4.9965 36708951.93 518883.9281 5005 
4.9975 36239924.91 515613.2803 4940 
4.9985 35801252.93 512546.2873 4879 
4.9995 36227749.35 515648.8481 4936 
5.0005 36323535.53 516384.9244 4948 
5.0015 36493300.87 517648.8266 4970 
5.0025 35964929.43 513942.3676 4897 
5.0035 35797332.14 512805.5561 4873 
5.0045 35729973.76 512366.6288 4863 
5.0055 36782852.09 519928.503 5005 
5.0065 36585065.81 518585.4133 4977 
5.0075 36394929.87 517295.3281 4950 
